NIST_ID,NIST_Category,OWASP_Mapping,Metric_Name,Measured_Value,Status,Verification_Method
PR.AC-3,Access Control (Least Privilege),A01:2021 - Broken Access Control,RBAC Enforced Access Routes,139,100% Mitigated,Playwright Cross-User Isolation Assertions (E2E Test 1)
PR.DS-1,Data-at-Rest Protection,A02:2021 - Cryptographic Failures,Active Bcrypt Salting Hashing Routines,15,100% Mitigated,Bcrypt Salt Entropy & Response payload verification (E2E Test 2)
PR.IP-1,Secure Input Validation & Param,A03:2021 - Injection (SQLi/XSS),SQL Param Bindings & JSX Auto-Escapes,106,100% Mitigated,SQL Parameter Insertion Blocks & DOM Escape Audits (E2E Test 3)
PR.IP-2,Secure Design & Timing Homogeneity,A04:2021 - Insecure Design,Uniform Authenticator Response Codes,4,100% Mitigated,Brute-force credential verification timer mocks (E2E Test 4)
PR.AC-1,Network / Origin Misconfiguration,A05:2021 - Security Misconfiguration,Active Restricted CORS Endpoints,5,100% Mitigated,CORS Pre-flight restriction audits & default cred filters (E2E Test 5)
PR.IP-12,Component Disclosures & Headers,A06:2021 - Vulnerable Components,Stripped Framework Version Disclosures,3,100% Mitigated,API Header probing & Server details stripping check (E2E Test 6)
PR.AC-4,Identity & Session Isolation,A07:2021 - Identification & Auth Failures,HttpOnly Secure Cookie Injections,41,100% Mitigated,JWT Session boundary checks on secure browser cookies (E2E Test 7)
PR.DS-2,Software & Schema Data Integrity,A08:2021 - Software & Data Integrity Failures,Active Pydantic Boundary Typing Schemas,77,100% Mitigated,FastAPI typing constraints & bad schema rejections (E2E Test 8)
DE.CM-1,Continuous Logging & Monitoring,A09:2021 - Security Logging Failures,Sentry Telemetry Audit Interceptors,12,100% Mitigated,Authorized event alerts & trace audits (E2E Test 9)
PR.IP-1,SSRF & Field Restricting Regex,A10:2021 - SSRF Protection,Input Filtering Regex Boundaries,43,100% Mitigated,SSRF Postcode loopback and IP validation filters (E2E Test 10)
